FID,id,cod_craai,cod_mun,municipio,zona_eleitoral,cd_local,nm_local,nm_local2,bairro,endereco,total_seção,total_aptos,X,Y,geom
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c4,1,6,3302502,MAGÉ,148,1201,ESCOLA ESTADUAL PROFESSORA ALDA BERNARDO DOS SANTOS TAVARES,ESCOLA ESTADUAL PROFESSORA ALDA BERNARDO DOS SANTOS TAVARES,CENTRO,RUA BRASIL 153,16,5684,-43.17731,-22.60976,POINT (-43.177310000000006 -22.609759999999998)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c3,2,6,3302502,MAGÉ,148,1210,C. E. JOSÉ VERÍSSIMO,C. E.  JOSE VERISSIMO,RAIZ DA SERRA,AV. AUTOMÓVEL CLUBE,26,6621,-43.18697,-22.57662,POINT (-43.18696999999999 -22.576620000000013)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c2,3,6,3302502,MAGÉ,148,1279,CIEP 127 - FREI ACURSIO ALUIZIO GONZAGA,CIEP 127 - FREI ACURSIO ALUIZIO GONZAGA,MAURIMARCIA,RUA TREZE S/N,16,5941,-43.17808,-22.62452,POINT (-43.17808000000001 -22.62452)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c1,4,6,3302502,MAGÉ,148,1198,CIEP 441 - MANÉ GARRINCHA,CIEP 441 - MANE GARRINCHA,PAU GRANDE,RUA JOSÉ PEREIRA DE SOUZA S/N,11,3619,-43.1696,-22.58588,POINT (-43.1696 -22.58588)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c0,5,6,3302502,MAGÉ,148,1082,COLÉGIO ESTADUAL PROFESSOR ALFREDO BALTHAZAR DA SILVEIRA,COLÉGIO ESTADUAL  PROFESSOR ALFREDO BALTHAZAR DA SILVEIRA,PIABETÁ,RUA GUARANY S/N,18,7106,-43.17188,-22.61353,POINT (-43.171880000000016 -22.613530000000022)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bf,6,6,3302502,MAGÉ,148,1317,ESCOLA MUNICIPAL AURELIANO COUTINHO,ESCOLA MUNICIIPAL AURELIANO COUTINHO,PIABETÁ,ESTRADA MUNICIPAL S/N,17,5831,-43.17187,-22.60975,POINT (-43.171870000000006 -22.60975000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57be,7,6,3302502,MAGÉ,148,1104,ESCOLA MUNICIPAL DOUTOR DOMINGOS BELIZZE,ESCOLA MUNICIPAL DOUTOR DOMINGOS BELIZZE,VILA RECREIO,ESTRADA DO CONTORNO KM 10 - PARQUE VILA RECREIO S/N,4,1059,-43.19514,-22.64615,POINT (-43.19514000000001 -22.64615000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bd,8,6,3302502,MAGÉ,148,1155,ESCOLA MUNICIPAL TIRADENTES (ERNESTO COZZOLINO),ESCOLA MUNICIPAL TIRADENTES (ERNESTO COZZOLINO),PARQUE ESTRELA,RUA 11 DE JULHO S/N,5,1870,-43.21148,-22.6472,POINT (-43.21148000000001 -22.647200000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bc,9,6,3302502,MAGÉ,148,1694,ESCOLA MUNICIPAL GANDUR ASSED,ESCOLA MUNICIPAL GANDUR ASSED,FRAGOSO,RUA UM S/N,3,999,-43.18736,-22.5844,POINT (-43.187360000000005 -22.584400000000013)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bb,10,6,3302502,MAGÉ,148,1589,ESCOLA MUNICIPAL PROFESSOR GISNEI CAMARA,ESCOLA MUNICIPAL PROFESSOR GISNEI CAMARA,ILHA,RUA ARISTIDES PORTUGAL 353,4,1525,-43.17278,-22.59583,POINT (-43.17278000000002 -22.595830000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ba,11,6,3302502,MAGÉ,148,1376,PRIMEIRA IGREJA BATISTA DE PIABETA,PRIMEIRA IGREJA BATISTA DE PIABETA,CENTRO,RUA BRASIL 235,14,4679,-43.1764,-22.61002,POINT (-43.1764 -22.61002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b9,12,6,3302502,MAGÉ,148,1686,ESCOLA MUNICIPAL GERALDA ALVES DA SILVA (RAPHAEL COZZOLINO),ESCOLA MUNICIPAL GERALDA ALVES DA SILVA (RAPHAEL COZZOLINO),VILA RAQUEL,RUA GUARANI 1978,20,6961,-43.16258,-22.61938,POINT (-43.162579999999984 -22.619379999999996)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b8,13,6,3302502,MAGÉ,148,1074,CENTRO EDUCACIONAL SOARES COIMBRA,COLEGIO SOARES COIMBRA,FRAGOSO,RUA SANDRO GOMES DOS SANTOS 452,11,4110,-43.18549,-22.59326,POINT (-43.18548999999999 -22.59326000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b7,14,6,3302502,MAGÉ,148,1228,E. M. PROFESSORA JUPIRA FERREIRA CORREA,ESCOLA MUNICIPAL PROFESSORA JUPIRA FERREIRA CORREA,PIABETÁ,RUA CARAMURU 150,9,2861,-43.17686,-22.60753,POINT (-43.17686000000002 -22.607529999999997)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b6,15,6,3302502,MAGÉ,148,1414,ESCOLA MUNICIPAL ELZA TEIXEIRA DE PAIVA,ESCOLA MUNICIPAL ELZA TEIXEIRA DE PAIVA,JARDIM SAO PAULO,RUA MARIA CRISTINA BURACO DA ONCA S/N,6,2178,-43.18772,-22.60929,POINT (-43.18772000000001 -22.609290000000012)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b5,16,6,3302502,MAGÉ,148,1490,E. M. DR ANTONIO DA ROCHA PARANHOS,ESCOLA MUNICIPAL DOUTOR ANTONIO DA ROCHA PARANHOS,PARQUE PARANHOS,PRAÇA PARANHOS 30,4,1411,-43.19157,-22.63242,POINT (-43.191570000000006 -22.632419999999993)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b4,17,6,3302502,MAGÉ,148,1066,CIEP 219 - NAÇÃO YANOMANI - ENY DA SILVA,CIEP 219 - NACAO YANOMANI  - ENY DA SILVA,PARQUE HUMAITA,RUA IRMAOS SCHNAIDER S/N,11,3999,-43.19507,-22.62037,POINT (-43.19507000000001 -22.62037)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b3,18,6,3302502,MAGÉ,148,1473,E. M. GERALDA IZAURA (BENITO ALEM COZZOLINO),ESCOLA MUNICIPAL GERALDA IZAURA (BENITO ALEM  COZZOLINO),PARQUE SANTANA,SANTOS DUMONT S/N,12,4139,-43.18184,-22.62915,POINT (-43.181840000000015 -22.629150000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b2,19,6,3302502,MAGÉ,148,1457,E. M. PROFESSOR DANIEL SOARES SILVA (MARIA T. COZZOLINO),ESCOLA MUNICIPAL PROFESSOR DANIEL SOARES SILVA (MARIA T. COZZOLINO),JARDIM NAZARENO,AV. AUTOMOVEL CLUBE KM 59 N. 745,15,5175,-43.19455,-22.60909,POINT (-43.194549999999985 -22.609089999999995)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b1,20,6,3302502,MAGÉ,148,1546,E. M. PROFESSORA ALICE DA SILVA S. DE PAIVA,ESCOLA MUNICIPAL PROFESSORA ALICE DA SILVA S. DE PAIVA,PARQUE CAÇULA,RUA C QD 6 LT 4,10,3340,-43.18584,-22.61596,POINT (-43.185840000000006 -22.615959999999994)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b0,21,6,3302502,MAGÉ,148,1139,ESCOLA MUNICIPAL ROSENI DOS SANTOS SILVA,ESCOLA MUNICIPAL PROFESSORA ROSENI DOS SANTOS SILVA,PONTE PRETA,RUA JOAQUIM TOMAZ 90 PONTE PRETA,4,1275,-43.20422,-22.63929,POINT (-43.20422000000001 -22.63929000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57af,22,6,3302502,MAGÉ,148,1570,E. M. RENATA FRANCO (PERGENTINA COZZOLINO),ESCOLA MUNICIPAL RENATA FRANCO (PERGENTINA COZZOLINO),FRAGOSO,RUA C S/N LOTEAMENTO PARAGUAI,12,4026,-43.19186,-22.59427,POINT (-43.191859999999984 -22.594270000000023)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ae,23,6,3302502,MAGÉ,148,1031,E. M. VEREADOR GERALDO ÂNGELO PEREIRA,ESCOLA MUNICIPAL VEREADOR GERALDO ÂNGELO PEREIRA,FRAGOSO,RUA J S/N (PRAÇA CARLOS DE SOUZA),15,5499,-43.18257,-22.59502,POINT (-43.18256999999999 -22.59502000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ad,24,6,3302502,MAGÉ,148,1147,E. M. MARCILIO DIAS,ESCOLA MUNICIPAL MARCILIO DIAS,CACHOEIRA GRANDE,ESTRADA DA CACHOEIRA GRANDE S/N,4,1435,-43.13769,-22.59686,POINT (-43.13768999999999 -22.596859999999996)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ac,25,6,3302502,MAGÉ,148,1678,E. M. JOÃO RODRIGUES,ESCOLA MUNICIPAL JOÃO RODRIGUES,PARQUE DOS ARTISTAS,RUA MARISA PRADO 274,5,1004,-43.15273,-22.6152,POINT (-43.15272999999999 -22.61520000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ab,26,6,3302502,MAGÉ,148,1708,ESCOLA MUNICIPAL PROFESSORA ALICE DA SILVA S. DE PAIVA,ESCOLA MUNICIPAL PROFESSORA ALICE DA SILVA S. DE PAIVA,PARQUE CAÇULA,RUA C QD 6 LT 4,1,1,-43.18583,-22.61599,POINT (-43.18583000000001 -22.615990000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57aa,27,6,3302502,MAGÉ,110,1031,COLÉGIO ESTADUAL DE MAGÉ,COLÉGIO ESTADUAL DE MAGÉ,CENTRO,RUA COMENDADOR REIS S/N,10,3762,-43.04205,-22.65308,POINT (-43.04205000000001 -22.653080000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a9,28,6,3302502,MAGÉ,110,1066,GRUPO POTÊNCIA (GPI),GRUPO POTENCIA (GPI),CENTRO,RUA PAPA PIO XII 47,10,2486,-43.03768,-22.6541,POINT (-43.03768000000001 -22.654100000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a8,29,6,3302502,MAGÉ,110,1074,CIEP 128,CIEP 128,TÊNIS CLUBE,RUA ALMIR REPANI S/N,15,4150,-43.04365,-22.65901,POINT (-43.04365 -22.659010000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a7,30,6,3302502,MAGÉ,110,1082,CRECHE MUNICIPAL ADALBERTO GOMES PINTO FERRAZ,CRECHE MUNICIPAL ADALBERTO GOMES PINTO FERRAZ,PIEDADE,RUA PORTO VELHO 105,4,1085,-43.06255,-22.68473,POINT (-43.06255 -22.684730000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a6,31,6,3302502,MAGÉ,110,1090,CRECHE MUNICIPAL LUIZA VIEIRA,CRECHE MUNICIPAL LUIZA VIEIRA,NOVA MARILIA,AV. 1 SN,7,2508,-43.03007,-22.63719,POINT (-43.030069999999995 -22.63719000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a5,32,6,3302502,MAGÉ,110,1112,E.M. NOÊMIA TEIXEIRA,ESCOLA MUNICIPAL NOEMIA TEIXEIRA,CENTRO,AVENIDA ROTARY CLUBE S/N,10,3043,-43.04277,-22.65382,POINT (-43.04277000000001 -22.653820000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a4,33,6,3302502,MAGÉ,110,1120,E.E. VISCONDE DE SEPETIBA,ESCOLA ESTADUAL VISCONDE DE SEPETIBA,CENTRO,RUA PREFEITO ULLMAN,16,5254,-43.0375,-22.65903,POINT (-43.03750000000001 -22.659029999999998)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a3,34,6,3302502,MAGÉ,110,1147,C.E.I. - CENTRO EDUCACIONAL IMPERIAL,CEI - CENTRO EDUCACIONAL IMPERIAL,CENTRO,AVENIDA SIMÃO DA MOTTA 650,10,2219,-43.0368,-22.65832,POINT (-43.036799999999985 -22.658320000000003)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a2,35,6,3302502,MAGÉ,110,1210,ESCOLA MUNICIPAL DES. OSWALDO PORTELLA,ESCOLA MUNICIPAL DES. OSWALDO PORTELLA,CENTRO,RUA IDALINA MONTEIRO N 65,6,1612,-43.03899,-22.65988,POINT (-43.03898999999999 -22.659880000000015)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a1,36,6,3302502,MAGÉ,110,1481,E.M. SÃO NICOLAU,ESCOLA MUNICIPAL SÃO NICOLAU,SURUI,RUA CEL SERGIO JOSE DO AMARAL N 463,9,3203,-43.12148,-22.66401,POINT (-43.12148000000002 -22.664010000000008)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a0,37,6,3302502,MAGÉ,110,1490,E.M. DR. MÁRIO PINHEIRO,ESCOLA MUNICIPAL DR. MARIO PINHEIRO,SANTA DALILA,RUA 21 N 34,7,1814,-43.15117,-22.65311,POINT (-43.15117000000001 -22.653109999999998)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-579f,38,6,3302502,MAGÉ,110,1503,ESCOLA MUNICIPAL COVANCA,ESCOLA MUNICIPAL COVANCA,COVANCA - SURUI,RUA DIRON TORRES PAIVA 282,4,1187,-43.12062,-22.64289,POINT (-43.120619999999995 -22.642890000000023)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-579e,39,6,3302502,MAGÉ,110,1520,GRUPO ESCOLAR CORONEL SÉRGIO JOSÉ DO AMARAL,GRUPO ESCOLAR CORONEL SERGIO JOSE DO AMARAL,SURUI,RUA JOAO FELIX DO BONFIM S/N,7,2336,-43.11704,-22.66454,POINT (-43.11704000000002 -22.664540000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-579d,40,6,3302502,MAGÉ,110,1562,ESCOLA MUNICIPAL COMANDANTE AMARAL PEIXOTO,ESCOLA MUNICIPAL COMANDANTE AMARAL PEIXOTO,JARDIM DA PAZ,ESTRADA REAL DE MAUÁ S/N,5,1547,-43.16512,-22.70983,POINT (-43.16512 -22.709830000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-579c,41,6,3302502,MAGÉ,110,1589,COLÉGIO ESTADUAL MAUA,COLÉGIO ESTADUAL MAUA,PRAIA DO ANIL,AV. ROBERTO SILVEIRA S/N,6,2018,-43.14767,-22.7073,POINT (-43.14767000000001 -22.707300000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-579b,42,6,3302502,MAGÉ,110,1597,ESCOLA OSWALDO CRUZ,ESCOLA OSWALDO CRUZ,MAUA,ESTRADA REAL DE MAUA 2015,8,2377,-43.17723,-22.71512,POINT (-43.17723 -22.715120000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-579a,43,6,3302502,MAGÉ,110,2011,CIEP - 260 (GINASIO PUBLICO BARBOSA PORTO),CIEP - 260 (GINASIO PUBLICO BARBOSA PORTO),FIGUEIRA,RUA PIO XII N 1500 (PONTE SECA),9,3025,-43.03075,-22.64316,POINT (-43.03074999999998 -22.643160000000005)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5799,44,6,3302502,MAGÉ,110,2089,ESCOLA MUNICIPAL PAULO BARENCO,ESCOLA MUNICIPAL VER. PAULO BARENCO,PRAIA DE OLARIA,RUA CASTRO ALVES 250,6,2047,-43.13598,-22.70785,POINT (-43.135979999999996 -22.707849999999993)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5798,45,6,3302502,MAGÉ,110,2100,ESCOLA MUNICIPAL COMENDADOR DÉLIO PEREIRA SAMPAIO,ESCOLA MUNICIPAL COMENDADOR DÉLIO PEREIRA SAMPAIO,BARBUDA,AVENIDA DO CONTORNO,8,3081,-43.03388,-22.66418,POINT (-43.03387999999999 -22.664180000000005)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5797,46,6,3302502,MAGÉ,110,2186,E.M. PARQUE BONEVILLE,ESCOLA MUNICIPAL PARQUE BONEVILLE,PARQUE BONEVILLE,AVENIDA GETULIO VARGAS S/N,2,670,-43.08248,-22.65282,POINT (-43.082480000000004 -22.65282000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5796,47,6,3302502,MAGÉ,110,2291,CRECHE M. YANCA XIMENEZ,CRECHE MUNICIPAL YANCA XIMENEZ,MAUA,ESTRADA REAL DE MAUA 1464 JARDIM DA PAZ,4,1266,-43.17196,-22.71247,POINT (-43.171960000000006 -22.712470000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5795,48,6,3302502,MAGÉ,110,2364,CENTRO EDUCACIONAL MAGEENSE - ACADÊMICO,CENTRO EDUCACIONAL MAGEENSE - ACADÊMICO,CENTRO,AVENIDA SIMÃO DA MOTTA 23,7,2051,-43.03575,-22.66109,POINT (-43.03575000000001 -22.66109)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5794,49,6,3302502,MAGÉ,110,2410,E.M. DINORAH SANTOS BASTOS,ESCOLA MUNICIPAL DINORAH SANTOS BASTOS,SURUI,ESTRADA DA CONCEICAO N 2214,2,637,-43.10587,-22.61532,POINT (-43.10586999999999 -22.615319999999997)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5793,50,6,3302502,MAGÉ,110,2470,E.M. BARÃO DO IRIRI,ESCOLA MUNICIPAL BARÃO DO IRIRI,BARÃO DO IRIRI,RUA URUCUMIRIM LT 25 QD E,2,580,-43.09308,-22.66965,POINT (-43.09308000000001 -22.66965000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5792,51,6,3302502,MAGÉ,110,2585,ESCOLA MUNICIPAL HORACIO SILVA MELLO FILHO,ESCOLA MUNICIPAL HORACIO SILVA MELLO FILHO,LEQUE AZUL,PARQUE RECREIO D. PEDRO II S/N,4,1004,-43.16606,-22.67298,POINT (-43.16606000000001 -22.672979999999992)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5791,52,6,3302502,MAGÉ,110,2593,CIEP 327 - PEDRO AMÉRICO,CIEP 327 - PEDRO AMERICO,SURUI,RUA ROSA ANGELICA N 315,6,2063,-43.1331,-22.65862,POINT (-43.13310000000001 -22.65862000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5790,53,6,3302502,MAGÉ,110,2615,CRECHE MUNICIPAL JOAO ESPIRIDIAO DOS SANTOS,CRECHE MUNICIPAL JOAO ESPIRIDIAO DOS SANTOS,SAO FRANCISCO,AV. BEIRA MAR N 58,4,1279,-43.1175,-22.70533,POINT (-43.1175 -22.705329999999996)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-578f,54,6,3302502,MAGÉ,110,2658,ESCOLA MUNICIPAL PROF. NILTA ALONSO DE MEDEIROS,ESCOLA MUNICIPAL PROFESSORA NILTA ALONSO DE MEDEIROS,BAIA BRANCA,RUA JOSE MARIA 35,2,494,-43.17259,-22.69283,POINT (-43.17258999999999 -22.692830000000004)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-578e,55,6,3302502,MAGÉ,110,2666,E.M. PROF. HILDA DA SILVA COELHO,ESCOLA MUNICIPAL PROFESSORA HILDA DA SILVA COELHO,IPIRANGA,ESTRADA REAL DE MAUA S/N CANTINHO DA VOVO,6,1803,-43.19027,-22.71782,POINT (-43.19027000000001 -22.717819999999993)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-578d,56,6,3302502,MAGÉ,110,2674,E.M. CELSO GOULART,ESCOLA MUNICIPAL CELSO GOULART,RIO DO OURO,RUA DILERMANDO REIS S/N,4,1144,-43.11431,-22.5913,POINT (-43.11431000000001 -22.591299999999997)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-578c,57,6,3302502,MAGÉ,110,2682,E.M.GETULIO VARGAS,ESCOLA MUNICIPAL GETULIO VARGAS,RIO DO OURO,EST. ANTONIO A. BERGARA N 234 CACHOEIRINHA,3,610,-43.08965,-22.59237,POINT (-43.089650000000006 -22.592370000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-578b,58,6,3302502,MAGÉ,110,2712,E.M. RADAMEZ MARZULLO,ESCOLA MUNICIPAL RADAMEZ MARZULLO,VILA INCA,RUA DAS PAINEIRAS 546,2,317,-43.07159,-22.63957,POINT (-43.07159 -22.639570000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-578a,59,6,3302502,MAGÉ,110,2720,E.M. MARIA CLARA MACHADO,ESCOLA MUNICIPAL MARIA CLARA MACHADO,CENTRO,RUA CORONEL MACIEIRA S/N,8,2779,-43.04118,-22.65299,POINT (-43.041180000000004 -22.65299000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5789,60,6,3302502,MAGÉ,110,2739,E.M. MAGID REPANI,ESCOLA MUNICIPAL MAGID REPANI,SACO,RUA 66 N 369,4,1154,-43.0214,-22.64925,POINT (-43.021400000000014 -22.649250000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5788,61,6,3302502,MAGÉ,110,2747,E.E. SÃO FRANCISCO DE ASSIS,ESCOLA ESTADUAL SÃO FRANCISCO DE ASSIS,JORORÓ,ESTRADA AUGUSTO VIEIRA S/N,3,553,-43.02464,-22.60555,POINT (-43.02464 -22.605550000000004)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5787,62,6,3302502,MAGÉ,110,2755,E.M. PADRE GILMAR DE CASTRO,ESCOLA MUNICIPAL PADRE GILMAR DE CASTRO,OLARIA,RUA WALTER FERREIRA S/N -,4,858,-43.13484,-22.70872,POINT (-43.13483999999999 -22.708720000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5786,63,6,3302502,MAGÉ,110,2771,E.M. VERÔNICA MARIA S. NUNES,ESCOLA MUNICIPAL VERÔNICA MARIA DA SILVA NUNES,PIEDADE,ESTRADA DA PIEDADE S/N,3,484,-43.05993,-22.67212,POINT (-43.05992999999999 -22.672120000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5785,64,6,3302502,MAGÉ,110,2810,E.M. EMILIO GEBARA,ESCOLA MUNICIPAL EMILIO GEBARA,PARQUE IRIRI,RUA CANTAGALO N 321,3,395,-43.06819,-22.65014,POINT (-43.068190000000016 -22.65014000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5784,65,6,3302502,MAGÉ,110,2844,E.M. PAULO FREIRE (RAPHAEL COZZOLINO JR),ESCOLA MUNICIPAL PAULO FREIRE,MAUA,AVENIDA ROBERTO SILVEIRA S/N,9,2856,-43.15061,-22.70586,POINT (-43.15061000000001 -22.705860000000015)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5783,66,6,3302502,MAGÉ,110,2909,E.M. FRANCISCO RONDINELLI,ESCOLA MUNICIPAL FRANCISCO RONDINELLI,JARDIM ESMERALDA,RUA ITAMBI S/N,6,1937,-43.03454,-22.60756,POINT (-43.03454000000001 -22.607560000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5782,67,6,3302502,MAGÉ,110,2917,E.M. ANAYDE DE MELO GUIMARÃES,ESCOLA MUNICIPAL ANAYDE DE MELO GUIMARÃES,CAPELA,ESTRADA MUNICIPAL ANTONIO ALLEM BERGARA 525,5,1396,-43.06608,-22.58071,POINT (-43.066079999999985 -22.580710000000018)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5781,68,6,3302502,MAGÉ,110,2950,E.E. RUTH TALDO FRANÇA,COLÉGIO ESTADUAL RUTH TALDO FRANÇA,SANTO ALEIXO,RUA DUQUE DE CAXIAS 65,8,2259,-43.04612,-22.54839,POINT (-43.046119999999995 -22.548390000000015)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5780,69,6,3302502,MAGÉ,110,2968,C.E. JOAQUIM LEITÃO,COLÉGIO ESTADUAL JOAQUIM LEITÃO,SANTO ALEIXO,RUA WALDEMAR LIMA TEIXEIRA S/N,12,4266,-43.04916,-22.55719,POINT (-43.04916000000001 -22.557190000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-577f,70,6,3302502,MAGÉ,110,2976,E.M. EVANIR DA SILVA GAGO,ESCOLA MUNICIPAL EVANIR DA SILVA GAGO,ANDORINHAS,RUA 8 DE MAIO 163,7,2072,-43.0448,-22.5462,POINT (-43.044800000000016 -22.54620000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-577e,71,6,3302502,MAGÉ,110,3000,E.M. RUTH TALDO FRANÇA,ESCOLA MUNICIPAL RUTH TALDO FRANÇA,SANTO ALEIXO,AV. OTHON LINZ BEZERRA DE MELLO N 329,7,1636,-43.05371,-22.56273,POINT (-43.05371000000001 -22.562730000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-577d,72,6,3302502,MAGÉ,110,3034,E.M. RISOLETA G.MATUCK,ESCOLA MUNICIPAL PROFESSORA RISOLETA GOULART DA S. MATUCK,BNH - GANDE,RUA DOS CRAVOS 190,3,829,-43.04522,-22.59267,POINT (-43.04521999999999 -22.592670000000005)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-577c,73,6,3302502,MAGÉ,110,3042,E.M. MANOEL FRANCISCO DA SILVEIRA,ESCOLA MUNICIPAL MANOEL FRANCISCO DA SILVEIRA,BNH - GANDE,ESTR. MUNICIPAL ADAM BLUMER N 8785,1,246,-43.0482,-22.58524,POINT (-43.0482 -22.585240000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-577b,74,6,3302502,MAGÉ,110,3069,ESCOLA MUNICIPAL MARGARIDA NERY PORTELLA,ESCOLA MUNICIPAL MARGARIDA NERY PORTELLA,CITROLÂNDIA,ESTRADA RIO-TERESÓPOLIS KM 11,1,169,-43.02776,-22.60722,POINT (-43.027759999999994 -22.607220000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-577a,75,6,3302502,MAGÉ,110,2852,ESCOLA MUNICIPAL PROFESSORA OPHELIA RIBEIRO MARTINS,ESCOLA MUNICIPAL PROFESSORA OPHELIA RIBEIRO MARTINS,SURUI,AVENIDA ISABEL DE PAULA S/N,10,2455,-43.12829,-22.6588,POINT (-43.12828999999999 -22.658800000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5779,76,3,3301876,IGUABA GRANDE,181,1015,ESCOLA ESTADUAL FRANCISCO PARANHOS,ESCOLA ESTADUAL FRANCISCO PARANHOS,CENTRO,RODOVIA AMARAL PEIXOTO KM 97,10,2722,-42.22615,-22.84249,POINT (-42.22615000000001 -22.842490000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5778,77,3,3301876,IGUABA GRANDE,181,1023,COLÉGIO CENECISTA IGUABA,E.M. THEREZINHA PEDROSA - CENTRO (ANTIGO CENECISTA),CENTRO,RUA JOÃO VASCONCELOS 46,10,2981,-42.22514,-22.83778,POINT (-42.22513999999999 -22.837780000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-5777,78,3,3301876,IGUABA GRANDE,181,1031,ESCOLA MUNICIPAL NARCISO MACEDO,ESCOLA MUNICIPAL NARCISO MACEDO,SAPEATIBA MIRIM,ESTRADA DE SAPEATIBA S/N - PRACA SANTA RITA,4,1196,-42.19231,-22.82175,POINT (-42.19231 -22.821750000000016)
