FID,id,cod_craai,cod_mun,municipio,zona_eleitoral,cd_local,nm_local,nm_local2,bairro,endereco,total_seção,total_aptos,X,Y,geom
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4575,4694,3,3300209,ARARUAMA,092,1295,COLÉGIO PROF. MOREIRA CALDAS,COLÉGIO PROFESSOR FERNANDO MOREIRA CALDAS,CENTRO,AV. GETÚLIO VARGAS 84,9,3550,-42.33855,-22.8755,POINT (-42.338550000000005 -22.875500000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4574,4695,3,3300209,ARARUAMA,092,1821,E. M. ORLANDO DIAS RIBEIRO,ESCOLA MUNICIPAL ORLANDO DIAS RIBEIRO,CENTRO,RUA LAMAS RABELLO S/N,9,3514,-42.34156,-22.86662,POINT (-42.341559999999994 -22.86662000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4573,4696,3,3300209,ARARUAMA,092,1643,E.M. MOISES RAMALHO,ESCOLA MUNICIPAL VEREADOR MOYSES RAMALHO,VILA CAPRI,RUA VITORIA HELENA S/N - ATRAS DO POSTO WAL,11,4367,-42.32198,-22.86771,POINT (-42.32198 -22.86771000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4572,4697,3,3300209,ARARUAMA,092,1082,E.M. ANDRÉ GOMES DOS SANTOS,ESCOLA MUNICIPAL ANDRÉ GOMES DOS SANTOS,BANANEIRAS,RUA MONTE AZUL S/N - ATRÁS DA IGREJA CATÓLICA,8,3122,-42.28333,-22.86722,POINT (-42.28333000000001 -22.867220000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4571,4698,3,3300209,ARARUAMA,092,1791,E.M. RAIMUNDO M. CAMARÃO,ESCOLA MUNICIPAL PROFESSOR RAYMUNDO MAGNO CAMARÃO,PARATY,RUA ARAGUACEMA S/N,5,1970,-42.30027,-22.86052,POINT (-42.30027000000001 -22.86052000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4570,4699,3,3300209,ARARUAMA,092,1554,E.M. JOSÉ CORREA DA FONSECA,ESCOLA MUNICIPAL JOSE CORREA DA FONSECA,MONTEIRO,ESTRADA DE MONTEIRO S/N,3,885,-42.2598,-22.74393,POINT (-42.25979999999999 -22.743930000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-456f,4700,3,3300209,ARARUAMA,092,1678,CIEP 384 - GONÇALVES DIAS,CIEP 384 - GONÇALVES DIAS,SÃO VICENTE,ESTRADA DE SÃO VICENTE S/N,9,3477,-42.25825,-22.72752,POINT (-42.25824999999999 -22.727520000000013)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-456e,4701,3,3300209,ARARUAMA,092,1856,E.M. AGOSTINHO FRANCESCHI,ESCOLA MUNICIPAL AGOSTINHO FRANCESCHI,AURORA,FAZENDA AURORA,5,1236,-42.41621,-22.80268,POINT (-42.41621000000001 -22.802680000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-456d,4702,3,3300209,ARARUAMA,092,1694,E.M. JOÃO AUGUSTO CHAVES,ESCOLA MUNICIPAL JOAO AUGUSTO CHAVES,SOBRADINHO,ESTRADA DO SOBRADINHO S/N,3,1026,-42.19531,-22.68872,POINT (-42.19531 -22.688720000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-456c,4703,3,3300209,ARARUAMA,092,1104,E.E. PROF. CLARICE COELHO MOREIRA CALDAS,ESCOLA ESTADUAL PROFESSORA CLARICE COELHO MOREIRA CALDAS,PONTE DOS LEITES,RUA PREFEITO ANTONIO RAPOSO S/N,6,2054,-42.37,-22.88444,POINT (-42.370000000000005 -22.884440000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-456b,4704,3,3300209,ARARUAMA,092,1775,E.M. ANTONIO ANDRADE MULLER,ESCOLA MUNICIPAL ANTONIO ANDRADE MULLER,OUTEIRO,RUA MARIA PRATA S/N,2,760,-42.36373,-22.87761,POINT (-42.36373 -22.877610000000004)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-456a,4705,3,3300209,ARARUAMA,092,1830,E.M. BRUNO BARRETO NAMETALA,ESCOLA MUNICIPAL BRUNNO BARRETO NAMETALA,ENGENHO GRANDE,RUA VENANCIO SILVA S/N,5,1724,-42.37982,-22.87858,POINT (-42.37982000000001 -22.878580000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4569,4706,3,3300209,ARARUAMA,092,1201,E.M. CELINA MESQUITA PEDROSA,ESCOLA MUNICIPAL CELINA MESQUITA PEDROSA,IGUABINHA,RUA PARACAMBI S/N,6,2340,-42.24279,-22.85625,POINT (-42.24279 -22.85625000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4568,4707,3,3300209,ARARUAMA,092,1813,E.M. PREF. ALTEVIR VIEIRA PINTO BARRETO,ESCOLA MUNICIPAL PREFEITO ALTEVIR VIEIRA PINTO BARRETO,IGUABINHA,PRACA DO VILAR S/N,5,1857,-42.26715,-22.86044,POINT (-42.26715 -22.86044000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4567,4708,3,3300209,ARARUAMA,092,1597,E. M. PROFESSORA DEBORA RODRIGUES DE FIGUEIREDO CORREA,ESCOLA MUNICIPAL PROFESSORA DEBORA RODRIGUES DE FIGUEIREDO CORREA,SÃO VICENTE,RUA PROF. ANTONIO RAPOSO S/N CENTRO,6,2362,-42.25752,-22.72566,POINT (-42.25752000000001 -22.725659999999998)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4566,4709,3,3300209,ARARUAMA,092,1562,E.M. LUIZ ANTUNES DE MENDONÇA,ESCOLA MUNICIPAL LUIZ ANTUNES DE MENDONCA,POSSE,ESTRADA DA POSSE S/N,2,282,-42.22325,-22.76714,POINT (-42.22324999999999 -22.767140000000012)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4565,4710,3,3300209,ARARUAMA,092,1473,E.M. VER. EDEMUNDO PEREIRA DE SÁ CARVALHO,ESCOLA MUNICIPAL VEREADOR EDEMUNDO PEREIRA DE SÁ CARVALHO,SÃO VICENTE,LOTEAMENTO SANTANA,7,2485,-42.26474,-22.72194,POINT (-42.26474 -22.721940000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4564,4711,3,3300209,ARARUAMA,092,1511,E.M. FAUSTINA SILVA DE CARVALHO,ESCOLA MUNICIPAL FAUSTINA SILVA DE CARVALHO,SÃO VICENTE,RUA JUVENTINO PINTO DE MORAES SN - LOTEAMENTO PARQUE II,2,442,-42.27107,-22.71009,POINT (-42.271069999999995 -22.71009)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4563,4712,3,3300209,ARARUAMA,092,1546,E.M. JOAQUINA DE OLIVEIRA RANGEL,ESCOLA MUNICIPAL JOAQUINA DE OLIVEIRA RANGEL,JUTURNAÍBA,ESTRADA DE JUTURNAIBA S/N,2,240,-42.26111,-22.62784,POINT (-42.26111 -22.62784000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4562,4713,3,3300209,ARARUAMA,092,1732,E.M. PASTOR ALCEBÍADES DE FERREIRA MENDONÇA,ESCOLA MUNICIPAL PASTOR ALCEBIADES FERREIRA DE MENDONÇA,SOUBARA,ESTR. DO SOUBARA S/N,2,453,-42.20179,-22.64051,POINT (-42.20179 -22.64051)
